Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2020-01-01,"2,736","10,201",4.46,6,633,341,10,24,"1,482"
2020-01-02,"2,637","9,539",4.25,4,608,292,31,2,"1,302"
2020-01-03,"2,656","11,394",4.75,5,750,242,32,27,"1,328"
2020-01-04,"2,934","17,150",7.2,6,541,294,16,36,"1,657"
2020-01-05,"2,961","18,607",7.82,11,452,270,18,48,"1,651"
2020-01-06,"2,174","7,296",3.23,5,813,163,15,9,782
2020-01-07,"2,283","8,713",3.75,5,672,183,38,6,928
2020-01-08,"2,817","6,451",2.87,10,824,333,14,10,"1,434"
2020-01-09,"3,142","13,381",5.78,19,608,351,37,37,"1,884"
2020-01-10,"3,325","15,043",6.47,7,543,407,29,35,"2,137"
2020-01-11,"2,767","10,150",4.46,7,666,312,16,28,"1,497"
2020-01-12,"2,811","9,797",4.28,17,721,345,8,21,"1,466"
2020-01-13,"2,467","7,730",3.43,10,905,262,17,1,"1,089"
2020-01-14,"2,099","4,910",2.19,8,746,158,6,2,629
2020-01-15,"2,343","8,815",3.9,0,616,231,29,8,"1,020"
2020-01-16,"2,903","14,513",6.13,6,574,271,15,52,"1,637"
2020-01-17,"2,234","6,093",2.71,5,611,249,0,0,880
2020-01-18,"1,945","2,794",1.24,0,553,162,0,0,516
2020-01-19,"2,611","10,795",4.54,5,818,194,9,45,"1,234"
2020-01-20,"2,564","11,638",4.94,4,774,241,14,31,"1,215"
2020-01-21,"2,029","3,978",1.74,5,806,153,0,0,586
2020-01-22,"2,126","5,686",2.53,3,906,185,0,0,723
2020-01-23,"1,921","3,240",1.44,4,945,118,0,0,455
2020-01-24,"1,901","3,080",1.37,5,861,120,0,0,431
2020-01-25,"2,763","11,161",4.78,6,629,227,36,46,"1,464"
2020-01-26,"2,774","13,325",5.69,6,758,260,8,38,"1,476"
